date,biomass,fossil_gas_previous,hyd_p_stg,hyd_river,hyd_reser,other,solar,wind_off,wind_on,season,time_of_day,sum_ren,ren_avg_dif,prediction,co2_predicted,load,budget,co2_budget
2023-01-01 00:00:00,387.0,134.0,358.0,982.0,727.0,25.0,0.0,8.0,3409.0,1.0,0.0,5896.0,1979.2022664835165,731.7364,135.371234,4542.0,2086.0,0.30273400000001516
2023-01-01 01:00:00,383.0,134.0,78.0,759.0,648.0,25.0,0.0,9.0,3548.0,1.0,0.0,5450.0,1533.2022664835165,699.2486,129.360991,4397.0,1752.0,15.918991000000034
2023-01-01 02:00:00,376.0,134.0,78.0,537.0,597.0,26.0,0.0,12.0,3661.0,1.0,0.0,5287.0,1370.2022664835165,699.2486,129.360991,4147.0,1839.0,10.285741000000016
2023-01-01 03:00:00,374.0,135.0,64.0,534.0,586.0,24.0,0.0,17.0,4057.0,1.0,0.0,5656.0,1739.2022664835165,731.7364,135.371234,3956.0,2432.0,-22.10076600000002
2023-01-01 04:00:00,372.0,134.0,0.0,404.0,514.0,24.0,0.0,17.0,4002.0,1.0,0.0,5333.0,1416.2022664835165,699.2486,129.360991,3801.0,2231.0,-15.096258999999947
2023-01-01 05:00:00,374.0,134.0,0.0,440.0,473.0,22.0,0.0,9.0,3878.0,1.0,0.0,5196.0,1279.2022664835165,699.2486,129.360991,3693.0,2202.0,-13.218508999999983
2023-01-01 06:00:00,375.0,134.0,0.0,405.0,470.0,23.0,0.0,15.0,3752.0,1.0,0.0,5040.0,1123.2022664835165,370.54922,68.5516057,3687.0,1724.0,-43.07739430000001
2023-01-01 07:00:00,376.0,133.0,0.0,365.0,458.0,24.0,0.0,17.0,3449.0,1.0,0.0,4689.0,772.2022664835163,585.4524,108.308694,3639.0,1635.0,2.442444000000009
2023-01-01 08:00:00,377.0,133.0,0.0,327.0,489.0,25.0,29.0,17.0,3311.0,1.0,0.5,4575.0,658.2022664835163,951.50684,176.0287654,3638.0,1889.0,53.7160154
2023-01-01 09:00:00,372.0,137.0,0.0,314.0,607.0,24.0,149.0,17.0,3369.0,1.0,0.5,4852.0,935.2022664835164,951.50684,176.0287654,3979.0,1825.0,57.860015399999995
2023-01-01 10:00:00,369.0,136.0,0.0,318.0,737.0,25.0,461.0,13.0,3412.0,1.0,0.5,5335.0,1418.2022664835165,1169.6096,216.377776,4493.0,2012.0,86.10077600000002
2023-01-01 11:00:00,367.0,137.0,126.0,779.0,1060.0,24.0,683.0,1.0,3389.0,1.0,0.5,6429.0,2512.2022664835163,1520.5519,281.3021015,5032.0,2918.0,92.3616015
2023-01-01 12:00:00,363.0,137.0,283.0,688.0,691.0,24.0,666.0,1.0,3928.0,1.0,0.5,6644.0,2727.2022664835163,1383.9847,256.0371695,5341.0,2687.0,82.0539195
2023-01-01 13:00:00,363.0,139.0,375.0,685.0,657.0,24.0,479.0,2.0,4077.0,1.0,0.5,6662.0,2745.2022664835163,1383.9847,256.0371695,5169.0,2877.0,69.7514195
2023-01-01 14:00:00,353.0,140.0,209.0,909.0,688.0,23.0,271.0,6.0,3957.0,1.0,0.5,6416.0,2499.2022664835163,1520.5519,281.3021015,4964.0,2973.0,88.8003515
2023-01-01 15:00:00,369.0,141.0,502.0,988.0,784.0,25.0,136.0,3.0,3617.0,1.0,0.5,6424.0,2507.2022664835163,1520.5519,281.3021015,4931.0,3014.0,86.14560150000003
2023-01-01 16:00:00,362.0,162.0,649.0,1055.0,1070.0,25.0,53.0,2.0,3109.0,1.0,0.5,6325.0,2408.2022664835163,1521.6582,281.50676699999997,4966.0,2881.0,94.962017
2023-01-01 17:00:00,348.0,231.0,1561.0,1476.0,1314.0,25.0,1.0,3.0,2456.0,1.0,1.0,7184.0,3267.2022664835163,1417.4403,262.2264555,5257.0,3344.0,45.70245550000001
2023-01-01 18:00:00,349.0,296.0,2459.0,1737.0,1369.0,24.0,0.0,6.0,2014.0,1.0,1.0,7958.0,4041.202266483516,544.7054,100.77049900000002,5580.0,2923.0,-88.49375099999999
2023-01-01 19:00:00,348.0,297.0,2526.0,1725.0,1350.0,26.0,0.0,4.0,2009.0,1.0,1.0,7988.0,4071.202266483516,544.7054,100.77049900000002,5728.0,2805.0,-80.85325099999996
2023-01-01 20:00:00,352.0,298.0,2279.0,1737.0,1304.0,25.0,0.0,7.0,2182.0,1.0,1.0,7886.0,3969.202266483516,544.7054,100.77049900000002,5709.0,2722.0,-75.479001
2023-01-01 21:00:00,350.0,180.0,1910.0,1716.0,1315.0,25.0,0.0,6.0,2362.0,1.0,1.0,7684.0,3767.202266483516,1196.3109,221.3175165,5515.0,3365.0,3.4337665000000186
2023-01-01 22:00:00,352.0,141.0,1611.0,1694.0,1358.0,24.0,0.0,3.0,2042.0,1.0,1.0,7084.0,3167.2022664835163,1196.3109,221.3175165,5214.0,3066.0,22.794016500000026
2023-01-01 23:00:00,352.0,134.0,890.0,1908.0,889.0,24.0,0.0,3.0,1500.0,1.0,1.0,5566.0,1649.2022664835165,858.2736,158.780616,4743.0,1681.0,49.93586600000002
2023-01-02 00:00:00,344.0,134.0,850.0,1468.0,892.0,25.0,0.0,4.0,1078.0,1.0,0.0,4661.0,744.2022664835163,585.4524,108.308694,4351.0,895.0,50.357444
2023-01-02 01:00:00,344.0,135.0,722.0,1278.0,941.0,24.0,0.0,2.0,850.0,1.0,0.0,4161.0,244.20226648351627,401.40924,74.26070940000001,4022.0,540.0,39.29570940000001
2023-01-02 02:00:00,351.0,136.0,810.0,1153.0,913.0,24.0,0.0,3.0,808.0,1.0,0.0,4062.0,145.20226648351627,401.40924,74.26070940000001,3839.0,624.0,33.85670940000002
2023-01-02 03:00:00,346.0,197.0,904.0,1199.0,889.0,20.0,0.0,1.0,890.0,1.0,0.0,4249.0,332.20226648351627,1282.6935,237.29829750000002,3758.0,1774.0,122.43179750000002
2023-01-02 04:00:00,345.0,380.0,840.0,1397.0,834.0,22.0,0.0,2.0,941.0,1.0,0.0,4381.0,464.2022664835162,1653.0787,305.8195595,3742.0,2292.0,157.41255950000001
2023-01-02 05:00:00,350.0,798.0,890.0,1484.0,934.0,23.0,0.0,1.0,914.0,1.0,0.0,4596.0,679.2022664835163,1176.1698,217.59141299999996,3867.0,1905.0,94.24266299999996
2023-01-02 06:00:00,354.0,1071.0,845.0,1579.0,1014.0,23.0,0.0,0.0,885.0,1.0,0.0,4700.0,783.2022664835163,1346.8304,249.163624,4224.0,1823.0,131.12437400000002
2023-01-02 07:00:00,347.0,1259.0,1462.0,1820.0,1169.0,24.0,1.0,0.0,697.0,1.0,0.0,5520.0,1603.2022664835165,908.16504,168.0105324,4746.0,1682.0,59.10103240000001
2023-01-02 08:00:00,338.0,1369.0,1648.0,2052.0,1314.0,24.0,107.0,1.0,552.0,1.0,0.5,6036.0,2119.2022664835163,1237.3202,228.90423700000002,5507.0,1766.0,114.55573700000004
2023-01-02 09:00:00,334.0,1552.0,1631.0,2043.0,1295.0,23.0,366.0,1.0,345.0,1.0,0.5,6038.0,2121.2022664835163,1237.3202,228.90423700000002,6140.0,1135.0,155.41298700000004
2023-01-02 10:00:00,339.0,1622.0,1387.0,1929.0,1274.0,21.0,591.0,2.0,227.0,1.0,0.5,5770.0,1853.2022664835165,1237.3202,228.90423700000002,6319.0,688.0,184.35623700000002
2023-01-02 11:00:00,341.0,1403.0,1434.0,2085.0,1280.0,23.0,838.0,1.0,233.0,1.0,0.5,6235.0,2318.2022664835163,1237.3202,228.90423700000002,6400.0,1072.0,159.49223700000002
2023-01-02 12:00:00,346.0,1387.0,1454.0,2104.0,1256.0,23.0,981.0,0.0,256.0,1.0,0.5,6420.0,2503.2022664835163,875.2611,161.9233035,6346.0,949.0,100.47555350000002
2023-01-02 13:00:00,353.0,1409.0,1455.0,2090.0,1308.0,26.0,915.0,0.0,215.0,1.0,0.5,6362.0,2445.2022664835163,875.2611,161.9233035,6267.0,970.0,99.1158035
2023-01-02 14:00:00,347.0,1413.0,1451.0,2081.0,1301.0,25.0,826.0,0.0,190.0,1.0,0.5,6221.0,2304.2022664835163,1237.3202,228.90423700000002,6366.0,1092.0,158.19723700000003
2023-01-02 15:00:00,349.0,1483.0,1520.0,2066.0,1334.0,26.0,623.0,0.0,238.0,1.0,0.5,6156.0,2239.2022664835163,1237.3202,228.90423700000002,6347.0,1046.0,161.17573700000003
2023-01-02 16:00:00,345.0,1491.0,1904.0,2184.0,1316.0,26.0,238.0,0.0,259.0,1.0,0.5,6272.0,2355.2022664835163,1237.3202,228.90423700000002,6435.0,1074.0,159.36273700000004
2023-01-02 17:00:00,342.0,1570.0,1872.0,2238.0,1279.0,24.0,9.0,0.0,337.0,1.0,1.0,6101.0,2184.2022664835163,1883.2499,348.4012315,6751.0,1233.0,268.5644815
2023-01-02 18:00:00,348.0,1566.0,2014.0,2241.0,1267.0,24.0,0.0,0.0,372.0,1.0,1.0,6266.0,2349.2022664835163,1883.2499,348.4012315,7221.0,928.0,288.31323150000003
2023-01-02 19:00:00,348.0,1573.0,1961.0,2084.0,1294.0,25.0,0.0,0.0,344.0,1.0,1.0,6056.0,2139.2022664835163,1883.2499,348.4012315,7463.0,476.0,317.58023149999997
2023-01-02 20:00:00,353.0,1571.0,1818.0,2087.0,1289.0,26.0,0.0,0.0,370.0,1.0,1.0,5943.0,2026.2022664835165,1883.2499,348.4012315,7352.0,474.0,317.7097315
2023-01-02 21:00:00,353.0,1555.0,1641.0,2089.0,1288.0,26.0,0.0,0.0,391.0,1.0,1.0,5788.0,1871.2022664835165,2156.6548,398.981138,6948.0,997.0,334.425388
2023-01-02 22:00:00,354.0,1422.0,1414.0,2093.0,1229.0,25.0,0.0,0.0,353.0,1.0,1.0,5468.0,1551.2022664835165,2091.421,386.91288499999996,6418.0,1141.0,313.03313499999996
2023-01-02 23:00:00,351.0,1177.0,679.0,1915.0,1132.0,23.0,0.0,1.0,405.0,1.0,1.0,4506.0,589.2022664835163,2144.6711,396.7641535,5835.0,816.0,343.9281535
2023-01-03 00:00:00,340.0,1097.0,668.0,1885.0,1169.0,24.0,0.0,1.0,441.0,1.0,0.0,4528.0,611.2022664835163,1346.8304,249.163624,5322.0,553.0,213.356874
2023-01-03 01:00:00,340.0,1109.0,619.0,1885.0,1079.0,25.0,0.0,2.0,468.0,1.0,0.0,4418.0,501.2022664835162,1346.8304,249.163624,4953.0,812.0,196.586624
2023-01-03 02:00:00,343.0,1099.0,568.0,1891.0,1086.0,25.0,0.0,4.0,528.0,1.0,0.0,4445.0,528.2022664835163,1346.8304,249.163624,4722.0,1070.0,179.881124
2023-01-03 03:00:00,344.0,1106.0,691.0,2015.0,1124.0,25.0,0.0,4.0,593.0,1.0,0.0,4796.0,879.2022664835163,1346.8304,249.163624,4632.0,1511.0,151.326374
2023-01-03 04:00:00,341.0,1159.0,684.0,2017.0,1299.0,23.0,0.0,4.0,559.0,1.0,0.0,4927.0,1010.2022664835164,908.16504,168.0105324,4614.0,1221.0,88.9507824
2023-01-03 05:00:00,341.0,1374.0,669.0,1996.0,1175.0,23.0,0.0,4.0,560.0,1.0,0.0,4768.0,851.2022664835163,1346.8304,249.163624,4716.0,1399.0,158.578374
2023-01-03 06:00:00,344.0,1568.0,910.0,2279.0,1281.0,23.0,0.0,5.0,555.0,1.0,0.0,5397.0,1480.2022664835165,1040.3018,192.45583299999998,5152.0,1285.0,109.252083
2023-01-03 07:00:00,347.0,1626.0,1547.0,2250.0,1324.0,25.0,1.0,5.0,499.0,1.0,0.0,5998.0,2081.2022664835163,1044.1963,193.17631550000002,5948.0,1094.0,122.33981550000001
2023-01-03 08:00:00,346.0,1727.0,2045.0,2299.0,1366.0,26.0,172.0,5.0,442.0,1.0,0.5,6701.0,2784.2022664835163,737.21716,136.3851746,6789.0,649.0,94.3624246
2023-01-03 09:00:00,342.0,1844.0,1194.0,2271.0,1232.0,24.0,620.0,4.0,369.0,1.0,0.5,6056.0,2139.2022664835163,1237.3202,228.90423700000002,7093.0,200.0,215.95423700000003
2023-01-03 10:00:00,346.0,1902.0,805.0,2297.0,1158.0,26.0,949.0,5.0,278.0,1.0,0.5,5864.0,1947.2022664835165,1237.3202,228.90423700000002,7093.0,8.0,228.38623700000002
2023-01-03 11:00:00,350.0,1998.0,606.0,2296.0,1107.0,26.0,1092.0,3.0,205.0,1.0,0.5,5685.0,1768.2022664835165,1341.1609,248.11476650000003,7096.0,-70.0,254.58976650000002
2023-01-03 12:00:00,352.0,2143.0,601.0,2258.0,1164.0,27.0,1158.0,2.0,174.0,1.0,0.5,5736.0,1819.2022664835165,1341.1609,248.11476650000003,6932.0,145.0,238.72601650000004
2023-01-03 13:00:00,351.0,2133.0,590.0,2218.0,1284.0,25.0,1137.0,4.0,184.0,1.0,0.5,5793.0,1876.2022664835165,1341.1609,248.11476650000003,6803.0,331.0,226.68251650000002
2023-01-03 14:00:00,355.0,2024.0,641.0,2245.0,1231.0,26.0,1015.0,3.0,240.0,1.0,0.5,5756.0,1839.2022664835165,1341.1609,248.11476650000003,6904.0,193.0,235.61801650000004
2023-01-03 15:00:00,361.0,2036.0,607.0,2265.0,1190.0,26.0,735.0,2.0,242.0,1.0,0.5,5428.0,1511.2022664835165,1406.1337,260.13473450000004,6905.0,-71.0,266.70223450000003
2023-01-03 16:00:00,360.0,2419.0,1268.0,2281.0,1367.0,25.0,277.0,1.0,246.0,1.0,0.5,5825.0,1908.2022664835165,1341.1609,248.11476650000003,7014.0,152.0,238.27276650000002
2023-01-03 17:00:00,348.0,2591.0,2418.0,2284.0,1369.0,24.0,10.0,0.0,316.0,1.0,1.0,6769.0,2852.2022664835163,1334.2695,246.83985750000002,7341.0,762.0,197.5003575
2023-01-03 18:00:00,338.0,2826.0,2081.0,2228.0,1394.0,25.0,0.0,0.0,420.0,1.0,1.0,6486.0,2569.2022664835163,1605.6274,297.041069,7810.0,282.0,278.781569
2023-01-03 19:00:00,334.0,2712.0,2089.0,2238.0,1432.0,25.0,0.0,0.0,492.0,1.0,1.0,6610.0,2693.2022664835163,1427.0903,264.01170550000006,8115.0,-78.0,271.22670550000004
2023-01-03 20:00:00,335.0,2659.0,1587.0,2212.0,1408.0,27.0,0.0,0.0,533.0,1.0,1.0,6102.0,2185.2022664835163,1534.0006,283.790111,8017.0,-381.0,319.03261100000003
2023-01-03 21:00:00,333.0,2512.0,961.0,2216.0,1360.0,26.0,0.0,1.0,503.0,1.0,1.0,5400.0,1483.2022664835165,1736.5682,321.265117,7555.0,-418.0,359.930117
2023-01-03 22:00:00,329.0,2392.0,792.0,2225.0,1290.0,25.0,0.0,1.0,474.0,1.0,1.0,5136.0,1219.2022664835165,1985.7736,367.368116,6973.0,149.0,357.720366
2023-01-03 23:00:00,329.0,1940.0,777.0,2272.0,1195.0,25.0,0.0,1.0,387.0,1.0,1.0,4986.0,1069.2022664835165,1802.9248,333.541088,6263.0,526.0,299.482588
2023-01-04 00:00:00,327.0,1287.0,701.0,2255.0,1162.0,26.0,0.0,2.0,312.0,1.0,0.0,4785.0,868.2022664835163,1346.8304,249.163624,5631.0,501.0,216.723874
2023-01-04 01:00:00,322.0,1070.0,617.0,2046.0,1160.0,26.0,0.0,1.0,304.0,1.0,0.0,4476.0,559.2022664835163,1346.8304,249.163624,5221.0,602.0,210.184124
2023-01-04 02:00:00,328.0,1103.0,447.0,2021.0,1290.0,26.0,0.0,1.0,269.0,1.0,0.0,4382.0,465.2022664835162,1346.8304,249.163624,4986.0,743.0,201.054374
2023-01-04 03:00:00,330.0,1094.0,571.0,2029.0,1292.0,26.0,0.0,0.0,307.0,1.0,0.0,4555.0,638.2022664835163,1346.8304,249.163624,4882.0,1020.0,183.118624
2023-01-04 04:00:00,324.0,1036.0,643.0,2010.0,1248.0,25.0,0.0,0.0,322.0,1.0,0.0,4572.0,655.2022664835163,1346.8304,249.163624,4846.0,1073.0,179.68687400000002
2023-01-04 05:00:00,330.0,1127.0,646.0,1822.0,1308.0,26.0,0.0,1.0,340.0,1.0,0.0,4473.0,556.2022664835163,1346.8304,249.163624,4950.0,870.0,192.831124
2023-01-04 06:00:00,322.0,1488.0,710.0,1873.0,1205.0,25.0,0.0,1.0,402.0,1.0,0.0,4538.0,621.2022664835163,1346.8304,249.163624,5375.0,510.0,216.141124
2023-01-04 07:00:00,327.0,1624.0,2001.0,2318.0,1342.0,26.0,1.0,1.0,438.0,1.0,0.0,6454.0,2537.2022664835163,712.83136,131.8738016,6177.0,990.0,67.7713016
2023-01-04 08:00:00,325.0,1612.0,2119.0,2317.0,1302.0,26.0,146.0,3.0,485.0,1.0,0.5,6723.0,2806.2022664835163,737.21716,136.3851746,6991.0,469.0,106.0174246
2023-01-04 09:00:00,316.0,1609.0,1406.0,1985.0,1267.0,25.0,583.0,2.0,451.0,1.0,0.5,6035.0,2118.2022664835163,1237.3202,228.90423700000002,7414.0,-142.0,242.039237
2023-01-04 10:00:00,303.0,1598.0,842.0,2048.0,1243.0,26.0,931.0,1.0,367.0,1.0,0.5,5761.0,1844.2022664835165,1237.3202,228.90423700000002,7332.0,-334.0,259.799237
2023-01-04 11:00:00,319.0,1608.0,570.0,1757.0,759.0,27.0,1098.0,0.0,244.0,1.0,0.5,4774.0,857.2022664835163,1489.47,275.55195000000003,7288.0,-1025.0,370.36445000000003
2023-01-04 12:00:00,330.0,1568.0,490.0,1758.0,765.0,26.0,1141.0,0.0,171.0,1.0,0.5,4681.0,764.2022664835163,1611.0916,298.051946,7036.0,-744.0,366.871946
2023-01-04 13:00:00,331.0,1462.0,699.0,1835.0,770.0,26.0,1118.0,0.0,140.0,1.0,0.5,4919.0,1002.2022664835164,1484.2614,274.58835899999997,6832.0,-429.0,314.270859
2023-01-04 14:00:00,328.0,1455.0,717.0,1785.0,772.0,25.0,988.0,0.0,125.0,1.0,0.5,4740.0,823.2022664835163,1611.0916,298.051946,6937.0,-586.0,352.25694599999997
2023-01-04 15:00:00,329.0,1459.0,655.0,2016.0,1198.0,27.0,710.0,0.0,113.0,1.0,0.5,5048.0,1131.2022664835165,1512.6862,279.84694700000006,6928.0,-367.0,313.79444700000005
2023-01-04 16:00:00,331.0,1746.0,1373.0,2162.0,1328.0,26.0,261.0,0.0,170.0,1.0,0.5,5651.0,1734.2022664835165,1237.3202,228.90423700000002,7057.0,-169.0,244.53673700000002
2023-01-04 17:00:00,337.0,1575.0,2786.0,2216.0,1428.0,26.0,10.0,0.0,320.0,1.0,1.0,7123.0,3206.2022664835163,1246.0415,230.51767750000002,7440.0,929.0,170.36492750000002
2023-01-04 18:00:00,341.0,1567.0,2703.0,2170.0,1425.0,26.0,0.0,0.0,402.0,1.0,1.0,7067.0,3150.2022664835163,1246.0415,230.51767750000002,7963.0,350.0,207.85517750000002
2023-01-04 19:00:00,339.0,1579.0,2796.0,2170.0,1384.0,25.0,0.0,0.0,474.0,1.0,1.0,7188.0,3271.2022664835163,1246.0415,230.51767750000002,8258.0,176.0,219.12167750000003
2023-01-04 20:00:00,335.0,1913.0,2397.0,2268.0,1396.0,27.0,0.0,1.0,509.0,1.0,1.0,6933.0,3016.2022664835163,1368.1467,253.1071395,8127.0,174.0,241.84063949999998
2023-01-04 21:00:00,331.0,1734.0,1627.0,2170.0,1314.0,27.0,0.0,2.0,618.0,1.0,1.0,6089.0,2172.2022664835163,1644.868,304.30058,7681.0,53.0,300.86883
2023-01-04 22:00:00,331.0,1466.0,835.0,2077.0,1282.0,26.0,0.0,2.0,745.0,1.0,1.0,5298.0,1381.2022664835165,2091.421,386.91288499999996,7107.0,282.0,368.65338499999996
2023-01-04 23:00:00,332.0,1259.0,990.0,2120.0,1247.0,26.0,0.0,4.0,847.0,1.0,1.0,5566.0,1649.2022664835165,2091.421,386.91288499999996,6402.0,1255.0,305.65163499999994
2023-01-05 00:00:00,334.0,847.0,646.0,1907.0,1300.0,27.0,0.0,0.0,913.0,1.0,0.0,5127.0,1210.2022664835165,824.7695,152.5823575,5737.0,215.0,138.6611075
2023-01-05 01:00:00,330.0,889.0,748.0,1755.0,1321.0,27.0,0.0,0.0,953.0,1.0,0.0,5134.0,1217.2022664835165,824.7695,152.5823575,5320.0,639.0,111.2071075
2023-01-05 02:00:00,331.0,833.0,700.0,1754.0,1228.0,27.0,0.0,0.0,1032.0,1.0,0.0,5072.0,1155.2022664835165,824.7695,152.5823575,5075.0,822.0,99.3578575
2023-01-05 03:00:00,327.0,844.0,703.0,1730.0,1325.0,26.0,0.0,0.0,1204.0,1.0,0.0,5315.0,1398.2022664835165,824.7695,152.5823575,4968.0,1172.0,76.6953575
2023-01-05 04:00:00,332.0,936.0,708.0,1759.0,1356.0,26.0,0.0,0.0,1151.0,1.0,0.0,5332.0,1415.2022664835165,995.43024,184.1545944,4930.0,1397.0,93.69884440000001
2023-01-05 05:00:00,337.0,1338.0,741.0,1965.0,1329.0,25.0,0.0,0.0,989.0,1.0,0.0,5386.0,1469.2022664835165,1386.5789,256.5170965,5001.0,1772.0,141.7800965
2023-01-05 06:00:00,335.0,1955.0,1378.0,2048.0,1425.0,25.0,0.0,0.0,915.0,1.0,0.0,6126.0,2209.2022664835163,1044.1963,193.17631550000002,5442.0,1728.0,81.28831550000002
2023-01-05 07:00:00,327.0,2350.0,1981.0,2183.0,1429.0,26.0,1.0,0.0,755.0,1.0,0.0,6702.0,2785.2022664835163,874.55884,161.7933854,6241.0,1336.0,75.2873854
2023-01-05 08:00:00,334.0,2735.0,2429.0,2178.0,1444.0,26.0,135.0,0.0,616.0,1.0,0.5,7162.0,3245.2022664835163,982.7418,181.807233,7149.0,996.0,117.316233
2023-01-05 09:00:00,335.0,2644.0,888.0,2158.0,1393.0,27.0,536.0,0.0,498.0,1.0,0.5,5835.0,1918.2022664835165,1341.1609,248.11476650000003,7471.0,-295.0,275.40226650000005
2023-01-05 10:00:00,339.0,2594.0,749.0,2165.0,1380.0,27.0,867.0,0.0,349.0,1.0,0.5,5876.0,1959.2022664835165,1341.1609,248.11476650000003,7369.0,-152.0,262.17476650000003
2023-01-05 11:00:00,346.0,2690.0,677.0,2167.0,1378.0,27.0,1026.0,0.0,203.0,1.0,0.5,5824.0,1907.2022664835165,1424.1208,263.462348,7339.0,-91.0,271.87984800000004
2023-01-05 12:00:00,347.0,2292.0,557.0,2076.0,1377.0,26.0,1088.0,0.0,135.0,1.0,0.5,5606.0,1689.2022664835165,1406.1337,260.13473450000004,7091.0,-79.0,267.44223450000004
2023-01-05 13:00:00,344.0,2248.0,558.0,2060.0,1376.0,27.0,1087.0,0.0,92.0,1.0,0.5,5544.0,1627.2022664835165,1406.1337,260.13473450000004,6914.0,36.0,257.8037345
2023-01-05 14:00:00,345.0,2247.0,507.0,2043.0,1377.0,27.0,971.0,0.0,61.0,1.0,0.5,5331.0,1414.2022664835165,1406.1337,260.13473450000004,6983.0,-246.0,282.88973450000003
2023-01-05 15:00:00,347.0,2466.0,520.0,2044.0,1385.0,27.0,698.0,0.0,39.0,1.0,0.5,5060.0,1143.2022664835165,1795.7693,332.21732049999997,6998.0,-142.0,345.35232049999996
2023-01-05 16:00:00,341.0,2914.0,1522.0,2158.0,1413.0,27.0,262.0,0.0,58.0,1.0,0.5,5781.0,1864.2022664835165,1912.1923,353.75557549999996,7110.0,583.0,316.00632549999995
2023-01-05 17:00:00,356.0,2946.0,2517.0,2159.0,1418.0,27.0,10.0,0.0,65.0,1.0,1.0,6552.0,2635.2022664835163,1401.4274,259.264069,7434.0,519.0,225.65881900000002
2023-01-05 18:00:00,357.0,3011.0,2495.0,2187.0,1424.0,28.0,0.0,0.0,79.0,1.0,1.0,6570.0,2653.2022664835163,1401.4274,259.264069,7949.0,22.0,257.839569
2023-01-05 19:00:00,347.0,3003.0,2230.0,2179.0,1443.0,27.0,0.0,0.0,140.0,1.0,1.0,6366.0,2449.2022664835163,1772.7384,327.95660399999997,8278.0,-139.0,340.814104
2023-01-05 20:00:00,328.0,3116.0,2463.0,2259.0,1482.0,25.0,0.0,0.0,114.0,1.0,1.0,6671.0,2754.2022664835163,1416.7977,262.1075745,8148.0,-60.0,267.6575745
2023-01-05 21:00:00,316.0,2725.0,1984.0,2142.0,1434.0,25.0,0.0,0.0,110.0,1.0,1.0,6011.0,2094.2022664835163,1780.3014,329.35575900000003,7715.0,76.0,324.43475900000004
2023-01-05 22:00:00,335.0,2467.0,793.0,2067.0,1424.0,27.0,0.0,1.0,148.0,1.0,1.0,4795.0,878.2022664835163,1742.7301,322.40506849999997,7095.0,-557.0,373.92756849999995
2023-01-05 23:00:00,352.0,1740.0,862.0,1974.0,1353.0,26.0,0.0,2.0,142.0,1.0,1.0,4711.0,794.2022664835163,1869.3253,345.82518050000004,6421.0,159.0,335.52993050000003
2023-01-06 00:00:00,359.0,1128.0,971.0,1771.0,1300.0,25.0,0.0,2.0,145.0,1.0,0.0,4573.0,656.2022664835163,1346.8304,249.163624,5748.0,172.0,238.026624
2023-01-06 01:00:00,350.0,644.0,1055.0,1727.0,1372.0,25.0,0.0,2.0,146.0,1.0,0.0,4677.0,760.2022664835163,1176.1698,217.59141299999996,5282.0,571.0,180.61916299999996
2023-01-06 02:00:00,352.0,404.0,1342.0,1681.0,1389.0,27.0,0.0,3.0,187.0,1.0,0.0,4981.0,1064.2022664835165,824.7695,152.5823575,5088.0,718.0,106.0918575
2023-01-06 03:00:00,353.0,405.0,1098.0,1555.0,1368.0,27.0,0.0,3.0,204.0,1.0,0.0,4608.0,691.2022664835163,1176.1698,217.59141299999996,4966.0,818.0,164.62591299999997
2023-01-06 04:00:00,328.0,405.0,1491.0,1692.0,1368.0,26.0,0.0,3.0,217.0,1.0,0.0,5125.0,1208.2022664835165,824.7695,152.5823575,4917.0,1033.0,85.69560750000001
2023-01-06 05:00:00,318.0,452.0,1182.0,1778.0,1367.0,26.0,0.0,4.0,195.0,1.0,0.0,4870.0,953.2022664835164,1176.1698,217.59141299999996,5034.0,1012.0,152.06441299999994
2023-01-06 06:00:00,318.0,513.0,1524.0,1934.0,1345.0,26.0,0.0,5.0,211.0,1.0,0.0,5363.0,1446.2022664835165,824.7695,152.5823575,5471.0,717.0,106.1566075
2023-01-06 07:00:00,314.0,656.0,1651.0,2101.0,1296.0,27.0,1.0,6.0,273.0,1.0,0.0,5669.0,1752.2022664835165,828.66406,153.3028511,6309.0,189.0,141.0651011
2023-01-06 08:00:00,312.0,827.0,1720.0,2102.0,1244.0,26.0,125.0,7.0,367.0,1.0,0.5,5903.0,1986.2022664835165,1237.3202,228.90423700000002,7230.0,-90.0,237.229237
2023-01-06 09:00:00,313.0,1041.0,1453.0,2074.0,1299.0,26.0,449.0,10.0,403.0,1.0,0.5,6027.0,2110.2022664835163,1237.3202,228.90423700000002,7558.0,-294.0,256.099237
2023-01-06 10:00:00,319.0,888.0,1600.0,2065.0,1341.0,27.0,748.0,11.0,494.0,1.0,0.5,6605.0,2688.2022664835163,875.2611,161.9233035,7527.0,-47.0,166.2708035
2023-01-06 11:00:00,325.0,831.0,1248.0,1997.0,1365.0,28.0,875.0,13.0,625.0,1.0,0.5,6476.0,2559.2022664835163,875.2611,161.9233035,7505.0,-154.0,176.1683035
2023-01-06 12:00:00,324.0,848.0,1208.0,1834.0,1363.0,26.0,840.0,14.0,743.0,1.0,0.5,6352.0,2435.2022664835163,875.2611,161.9233035,7332.0,-105.0,171.6358035
2023-01-06 13:00:00,341.0,856.0,1279.0,1646.0,1363.0,27.0,734.0,15.0,745.0,1.0,0.5,6150.0,2233.2022664835163,1237.3202,228.90423700000002,7208.0,179.0,217.31398700000003
2023-01-06 14:00:00,349.0,853.0,776.0,1539.0,1330.0,26.0,644.0,16.0,750.0,1.0,0.5,5430.0,1513.2022664835165,1302.293,240.924205,7263.0,-531.0,290.041705
